1,38,768,1539,20,1297,1067,15,850,1338,33,535,1230,53,29,1405,
2,63,272,614,36,415,482,44,524,153,19,303,374,52,125,457,
2,46,751,257,14,199,653,27,235,583,40,205,571,62,508,116,
2,40,773,630,32,156,524,17,385,352,60,52,524,45,433,160,
2,43,541,403,32,581,292,38,110,586,57,437,380,51,403,224,
1,33,1615,597,62,1369,662,54,319,1415,45,653,1229,38,572,1061,
1,35,1628,586,52,716,1043,62,1264,87,44,1,1255,30,656,881,
1,32,1121,456,62,424,1108,44,434,1049,39,313,873,55,451,739,
1,34,1813,134,62,509,1321,40,1272,299,26,884,962,51,955,457,
1,41,1862,328,34,1672,236,21,53,1383,63,1287,48,53,633,743,
1,40,1518,1159,46,420,1487,23,1051,802,58,380,965,27,960,361,
2,40,489,463,35,617,86,24,76,566,29,456,276,45,390,298,
2,39,327,576,47,62,673,53,33,598,9,489,167,29,132,474,
2,21,490,423,37,465,360,26,539,158,60,137,516,30,241,379,
2,45,717,510,40,668,479,27,461,542,62,386,505,54,437,454,
1,42,1264,795,27,939,921,58,978,802,20,109,1305,51,513,1063,
2,59,368,758,42,74,696,20,386,509,29,284,550,49,502,349,
2,38,852,195,21,590,460,60,539,60,8,261,401,51,512,39,
2,49,298,634,24,565,371,42,550,271,36,445,354,62,49,574,
2,47,76,771,41,4,793,24,509,127,36,169,392,58,436,74,
1,34,1488,135,26,1279,238,41,578,1093,16,605,928,48,605,928,
1,31,515,1402,49,775,902,63,1189,162,17,1107,160,56,505,810,
1,15,1344,170,54,481,1188,59,180,1111,32,801,707,39,896,459,
1,50,1083,810,62,974,907,31,957,634,21,559,923,55,768,774,
1,40,649,1467,62,872,917,51,576,925,8,543,719,26,545,586,
1,41,667,1606,28,822,1015,46,1213,185,60,582,977,51,1006,241,
2,44,947,93,35,752,176,21,256,682,15,127,683,30,382,331,
1,63,1196,637,35,477,1152,54,1057,497,28,1191,189,23,207,1078,
1,36,1921,408,58,1180,499,17,1313,126,14,1229,224,31,583,996,
2,35,246,621,19,519,159,30,28,549,44,471,150,57,398,114,
2,31,623,364,40,624,356,19,501,329,58,528,232,52,410,365,
2,35,148,582,53,439,293,58,395,190,42,397,180,47,94,429,
2,59,399,1196,52,290,1180,23,302,570,34,570,262,14,331,509,
2,47,111,859,36,664,70,17,577,157,13,324,418,52,176,400,
2,46,884,245,35,285,602,54,635,210,40,475,182,25,412,198,
1,45,1452,1297,61,1135,387,40,309,1026,34,1018,300,24,1014,140,
2,21,643,390,26,625,426,60,252,668,35,673,216,41,483,304,
2,55,756,109,38,241,639,33,520,334,24,123,494,47,390,170,
2,47,510,427,63,404,446,37,417,413,54,263,379,14,60,415,
2,40,280,827,56,523,393,61,274,470,47,449,310,23,564,37,
1,44,1150,946,55,751,1150,61,77,1062,39,397,865,50,673,721,
1,53,728,1291,34,1493,318,40,1549,165,15,1222,810,45,842,1009,
1,36,1629,922,51,551,1368,14,375,1287,28,903,587,11,827,678,
1,40,996,1315,34,667,1438,19,938,751,59,577,1020,51,922,763,
1,47,2206,26,60,488,1159,40,33,1363,19,998,652,28,1130,151,
1,42,447,1299,18,875,1015,54,292,1179,62,1274,54,32,921,711,
1,42,498,1728,55,1126,1005,23,366,1065,12,480,944,62,997,240,
1,40,308,1405,20,1099,369,46,435,1063,61,800,866,35,1183,125,
1,36,231,1539,31,523,1350,20,1304,317,62,517,1105,43,672,818,
2,38,557,253,15,351,394,45,401,138,51,383,156,62,307,250,
2,39,554,347,19,507,106,54,221,442,14,450,171,45,4,489,
2,47,462,625,11,633,254,15,267,572,33,94,562,22,188,462,
2,47,217,692,31,377,583,26,586,127,42,133,519,52,493,83,
2,31,199,603,24,278,432,38,417,295,13,504,23,54,394,237,
2,45,542,345,50,557,185,63,29,605,6,483,82,27,448,96,
1,27,1045,1134,34,343,1358,61,1174,498,6,795,746,13,803,268,
1,26,1275,798,63,1375,596,58,1303,236,39,272,967,32,695,394,
1,60,1871,1065,39,157,1466,55,464,1065,27,958,484,44,380,993,
1,61,524,1797,27,543,1347,15,1141,860,52,485,1091,39,474,883,
1,41,1382,527,61,917,684,18,663,747,53,817,413,25,252,874,
1,49,2190,388,40,570,1076,27,992,670,31,897,553,60,801,528,
1,63,947,940,42,678,666,28,489,733,54,823,285,32,722,476,
1,11,1221,676,31,483,1219,39,901,721,24,483,969,52,750,541,
1,34,1027,1200,55,1244,628,42,492,888,12,883,459,6,279,964,
1,10,1309,791,21,1326,258,45,349,1111,36,301,1096,50,746,598,
1,40,360,1311,50,1337,16,56,942,698,34,820,768,63,442,784,
1,35,1285,1858,51,1625,843,57,1151,658,19,267,951,42,282,880,
1,46,1385,1236,32,847,616,16,322,891,22,547,698,59,165,877,
1,42,1372,864,17,1084,535,6,1294,55,62,652,951,47,904,731,
2,49,605,643,14,485,346,32,551,185,58,259,435,39,284,400,
2,51,667,644,43,166,876,28,404,624,57,635,96,38,263,549,
1,32,1077,1364,43,1252,462,23,119,1063,49,88,1064,56,440,700,
2,60,659,396,42,350,652,54,174,475,28,429,180,15,281,363,
2,43,589,469,36,713,47,60,579,246,31,144,476,11,23,393,
1,47,642,1130,37,57,1151,27,1079,3,55,618,751,12,907,98,
1,49,1268,216,23,922,847,39,583,927,15,369,798,61,851,262,
1,34,1281,1159,45,1286,91,17,929,531,63,230,798,57,504,590,
1,55,1270,737,10,1446,59,30,131,1368,50,1193,287,37,867,762,
2,27,664,148,39,572,227,60,348,338,10,51,448,32,20,452,
2,33,589,703,56,408,764,15,106,535,43,517,78,50,435,91,
1,50,1369,775,41,999,708,25,1088,499,30,657,984,56,9,1193,
1,34,241,1639,43,1160,942,61,969,743,29,441,1063,15,675,923,
1,18,288,1262,34,1058,671,39,484,1026,59,537,946,52,341,886,
1,45,160,1709,34,1112,929,61,1101,774,40,1032,21,18,404,740,
1,31,1407,452,44,1430,114,52,924,819,36,663,872,20,654,503,
1,36,1212,1070,43,1152,1000,56,578,1012,21,295,1139,28,879,757,
1,47,535,1777,42,1484,635,27,809,797,15,366,850,54,345,798,
1,45,432,1727,39,38,1388,51,218,1040,57,322,891,22,879,139,
2,57,559,342,51,557,327,32,560,104,23,46,486,9,260,239,
2,26,609,385,40,330,481,53,361,319,20,93,446,14,43,417,
1,35,1556,1075,55,590,1538,25,813,827,11,614,823,42,898,321,
1,56,1287,892,32,1127,205,41,173,1076,23,273,1011,12,239,904,
2,37,317,798,42,409,485,49,460,305,7,337,417,32,535,58,
2,34,668,102,7,555,255,47,185,538,14,105,555,10,509,54,
1,51,231,1464,39,227,1261,60,1015,55,6,171,855,34,525,636,
1,38,1279,1163,47,1350,620,62,982,27,53,266,721,21,364,661,
2,39,806,395,34,332,597,53,438,521,47,472,497,21,158,491,
1,40,2286,377,49,1207,766,56,900,1060,12,1138,431,33,166,1041,
1,33,278,1670,55,1046,813,27,1133,599,63,403,1117,38,865,836,
2,43,1060,164,8,698,76,61,473,480,28,45,613,50,296,485,
2,37,897,148,21,538,138,43,235,476,59,419,303,31,238,444,
1,35,1584,628,45,1411,75,5,126,961,25,932,133,19,28,931,
1,38,593,952,49,1059,306,56,758,717,26,361,848,63,546,741,
1,47,1141,181,33,907,637,26,398,1019,15,551,903,18,156,1092,
2,38,201,668,44,524,464,62,596,277,51,228,539,33,136,405,
2,60,615,468,45,277,671,33,106,647,13,306,534,26,394,294,
1,40,1312,1025,56,755,1005,50,589,973,30,20,1118,61,885,298,
1,54,1562,155,39,865,1005,32,996,206,20,307,857,10,798,204,
1,40,1459,1230,62,1336,765,28,1382,176,35,1098,652,51,905,858,
1,40,803,1281,62,685,1031,47,909,444,14,224,978,31,875,116,
1,35,617,1902,47,1264,395,42,1352,192,13,222,1178,56,1246,52,
2,36,718,312,42,565,367,61,321,382,17,476,45,50,369,241,
2,10,520,507,37,287,559,31,462,359,61,461,214,46,151,476,
2,40,88,786,58,373,521,46,225,473,13,275,392,21,390,190,
1,42,1413,1212,36,1467,862,52,1045,508,47,931,406,22,416,876,
2,45,833,291,40,268,612,58,654,94,35,468,108,52,502,35,
2,39,174,767,15,694,310,51,233,602,27,349,272,60,454,19,
1,32,2115,761,38,1348,1253,11,1013,892,45,491,1192,7,328,1066,
